# 추천 평가 3줄 구성용 카테고리 문구 (PRICE/CONDITION/MARKET/USABILITY/OVERALL)
# 형식: 카테고리|문구 한 줄. 서비스에서 PRICE+CONDITION+OVERALL 또는 MARKET+USABILITY+OVERALL 등 3줄 조합
# PRICE (1~60)
PRICE|동일 연식 대비 가격 경쟁력이 우수한 매물입니다.
PRICE|시장 평균 대비 합리적인 가격대를 형성하고 있습니다.
PRICE|유사 조건 매물 대비 가격 메리트가 돋보입니다.
PRICE|현재 시세 기준에서 경쟁력이 높은 가격입니다.
PRICE|가격 대비 만족도가 기대되는 차량입니다.
PRICE|동급 모델 대비 가격 조건이 좋은 편입니다.
PRICE|비교 매물 대비 합리적인 가격으로 평가됩니다.
PRICE|시세 대비 부담 없는 가격대를 형성하고 있습니다.
PRICE|가격 대비 상품성이 뛰어난 매물입니다.
PRICE|동일 모델군 내에서 가격 경쟁력이 높은 차량입니다.
PRICE|시장 등록 매물 대비 가격 메리트가 있습니다.
PRICE|실구매 관점에서 부담이 적은 가격 조건입니다.
PRICE|가격 대비 차량 가치가 높은 매물입니다.
PRICE|현재 시장 흐름을 고려했을 때 합리적인 가격입니다.
PRICE|동급 차량 대비 가격 경쟁력이 확보된 매물입니다.
PRICE|유사 연식 대비 매력적인 가격대를 보입니다.
PRICE|비교 시 가격 만족도가 높은 차량입니다.
PRICE|시장 평균보다 경쟁력 있는 가격 수준입니다.
PRICE|가격 대비 조건이 우수한 매물입니다.
PRICE|합리적인 예산 범위에서 선택 가능한 차량입니다.
PRICE|동일 사양 대비 가격 메리트가 높은 편입니다.
PRICE|시세 대비 가성비가 뛰어난 매물입니다.
PRICE|가격 부담을 낮춘 현실적인 선택지입니다.
PRICE|비교 매물 대비 가격 경쟁력이 충분합니다.
PRICE|현재 등록 매물 중 가격 매력이 돋보입니다.
PRICE|가격 대비 효율적인 선택이 가능한 차량입니다.
PRICE|시장 평균 가격 대비 긍정적인 수준입니다.
PRICE|구매 비용 대비 만족도가 기대됩니다.
PRICE|동급 대비 합리적인 가격 구조를 보입니다.
PRICE|가격과 조건의 균형이 잘 맞는 매물입니다.
PRICE|시세 범위 내에서 경쟁력이 높은 차량입니다.
PRICE|가격 대비 실용성이 높은 매물입니다.
PRICE|동일 모델 중 가격 조건이 좋은 편입니다.
PRICE|현재 시장에서 가격 경쟁력이 유지되는 차량입니다.
PRICE|비교 결과 가격 측면에서 우수한 평가가 가능합니다.
PRICE|부담 없는 가격대로 접근 가능한 매물입니다.
PRICE|시장 대비 가격 매력이 높은 차량입니다.
PRICE|합리적인 소비를 원하는 경우 적합한 매물입니다.
PRICE|가격 대비 기대 가치가 높은 차량입니다.
PRICE|동급 차량 대비 가격 장점이 분명한 매물입니다.
PRICE|시장 시세 대비 메리트 있는 가격입니다.
PRICE|유사 매물 대비 가격 만족도가 높은 차량입니다.
PRICE|전체적인 가격 밸런스가 우수합니다.
PRICE|가격 대비 상품 가치가 높은 편입니다.
PRICE|경쟁 매물 대비 가격 조건이 우수합니다.
PRICE|현재 기준에서 합리적인 가격 수준입니다.
PRICE|동급 대비 가격 효율이 좋은 차량입니다.
PRICE|가격 경쟁력 측면에서 긍정적인 평가가 가능합니다.
PRICE|시세 대비 안정적인 가격을 형성하고 있습니다.
PRICE|가격 대비 선택 가치가 높은 매물입니다.
PRICE|비교 매물 대비 가격 부담이 낮은 편입니다.
PRICE|시장 흐름을 고려했을 때 적정 가격입니다.
PRICE|가격 대비 옵션 구성이 돋보입니다.
PRICE|동급 대비 가성비가 좋은 차량입니다.
PRICE|실구매 관점에서 가격 만족도가 높습니다.
PRICE|시장 비교 시 가격 경쟁력이 확보된 매물입니다.
PRICE|가격과 조건이 균형 잡힌 차량입니다.
PRICE|현재 등록 매물 중 가격 매력이 높은 편입니다.
PRICE|가격 대비 상품성이 우수한 차량입니다.
PRICE|합리적인 가격 조건을 갖춘 매물입니다.
# CONDITION (61~120)
CONDITION|연식 대비 관리 상태가 우수한 차량입니다.
CONDITION|전반적인 차량 컨디션이 양호한 매물입니다.
CONDITION|상품성 측면에서 긍정적인 평가가 가능합니다.
CONDITION|관리 이력이 안정적으로 보이는 차량입니다.
CONDITION|차량 상태와 가격의 균형이 좋은 매물입니다.
CONDITION|동급 대비 상품성이 뛰어난 차량입니다.
CONDITION|실사용 관점에서 상태 만족도가 기대됩니다.
CONDITION|옵션 구성과 차량 상태가 조화를 이룹니다.
CONDITION|관리 상태가 안정적으로 유지된 매물입니다.
CONDITION|전반적인 차량 컨디션이 좋은 편입니다.
CONDITION|연식 대비 차량 상태가 양호합니다.
CONDITION|상품성 기준에서 경쟁력이 있는 차량입니다.
CONDITION|관리 상태가 긍정적으로 평가되는 매물입니다.
CONDITION|옵션과 상태의 균형이 좋은 차량입니다.
CONDITION|실사용 시 만족도가 기대되는 조건입니다.
CONDITION|전반적인 상품 밸런스가 우수합니다.
CONDITION|차량 상태 대비 가격 메리트가 있습니다.
CONDITION|관리가 잘 이루어진 것으로 판단됩니다.
CONDITION|동급 대비 상태 경쟁력이 있는 매물입니다.
CONDITION|전체적인 컨디션이 안정적인 차량입니다.
CONDITION|차량 상품성이 돋보이는 매물입니다.
CONDITION|연식 대비 관리 수준이 좋은 차량입니다.
CONDITION|상태와 가격이 조화를 이루는 매물입니다.
CONDITION|전반적인 유지 상태가 양호합니다.
CONDITION|상품성 측면에서 높은 평가가 가능합니다.
CONDITION|실사용 환경에서도 안정적인 조건입니다.
CONDITION|차량 상태가 긍정적으로 평가됩니다.
CONDITION|관리 상태가 좋은 편에 속하는 매물입니다.
CONDITION|동급 대비 컨디션이 우수한 차량입니다.
CONDITION|전체적인 상품성이 뛰어난 매물입니다.
CONDITION|옵션 구성과 상태 모두 만족도가 기대됩니다.
CONDITION|관리 상태가 안정적으로 유지된 차량입니다.
CONDITION|차량 전반의 밸런스가 좋은 매물입니다.
CONDITION|상태 대비 가격 경쟁력이 확보된 차량입니다.
CONDITION|실사용 기준에서 장점이 많은 차량입니다.
CONDITION|상품성 중심으로 평가 시 긍정적인 매물입니다.
CONDITION|차량 상태가 안정적으로 유지된 것으로 보입니다.
CONDITION|동급 차량 대비 상품성이 좋은 편입니다.
CONDITION|관리 상태가 우수한 매물로 평가됩니다.
CONDITION|전체적인 컨디션이 균형 잡힌 차량입니다.
CONDITION|연식 대비 만족도가 기대되는 상태입니다.
CONDITION|상품 가치가 높은 차량으로 판단됩니다.
CONDITION|상태와 옵션 구성이 조화를 이룹니다.
CONDITION|차량 관리 상태가 긍정적으로 평가됩니다.
CONDITION|상품성 측면에서 경쟁력이 충분합니다.
CONDITION|실사용 만족도가 기대되는 컨디션입니다.
CONDITION|관리 이력 측면에서 안정적인 매물입니다.
CONDITION|차량 상태가 전반적으로 양호합니다.
CONDITION|동급 대비 상태 경쟁력이 있는 차량입니다.
CONDITION|관리 상태가 좋은 편으로 평가됩니다.
CONDITION|차량 컨디션이 안정적으로 유지되었습니다.
CONDITION|전반적인 상품성이 좋은 매물입니다.
CONDITION|상태 대비 가격 만족도가 높은 차량입니다.
CONDITION|차량 상태가 균형 있게 유지된 매물입니다.
CONDITION|상품성 중심 평가에서 긍정적인 결과입니다.
CONDITION|관리 상태와 조건이 모두 양호합니다.
CONDITION|차량 상태가 안정적인 수준입니다.
CONDITION|전반적인 컨디션이 우수한 편입니다.
CONDITION|실사용 기준에서 상태 만족도가 기대됩니다.
CONDITION|차량 상품성이 돋보이는 매물입니다.
# MARKET (121~180)
MARKET|동일 조건 매물 대비 희소성이 있는 차량으로 평가됩니다.
MARKET|현재 시장 등록 매물 중 경쟁력이 높은 조건을 갖추고 있습니다.
MARKET|여러 플랫폼 비교 시 조건이 우수한 매물입니다.
MARKET|시장 내 유사 매물 대비 선택 가치가 높은 차량입니다.
MARKET|동일 사양 기준에서 보기 드문 조건의 매물입니다.
MARKET|현재 등록 매물 중 상품성이 돋보이는 차량입니다.
MARKET|시장 비교 결과 경쟁력이 충분한 매물입니다.
MARKET|유사 조건 매물 대비 균형 잡힌 구성을 보입니다.
MARKET|동일 모델 대비 매물 조건이 좋은 편입니다.
MARKET|시장 내 공급 대비 매력적인 조건을 갖추고 있습니다.
MARKET|비교 매물 중 우선적으로 검토 가능한 차량입니다.
MARKET|현재 시장 기준에서 희소성이 일부 반영된 매물입니다.
MARKET|여러 매물과 비교 시 조건 경쟁력이 돋보입니다.
MARKET|동급 차량 대비 등록 조건이 우수합니다.
MARKET|시장 평균 대비 경쟁력이 높은 매물입니다.
MARKET|비교 결과 안정적인 선택지로 평가됩니다.
MARKET|현재 시점에서 찾기 쉬운 조건은 아닌 매물입니다.
MARKET|동일 모델군 내에서 조건 만족도가 높은 차량입니다.
MARKET|시장 등록 매물 중 균형이 좋은 편입니다.
MARKET|비교 시 전반적인 조건이 우수한 매물입니다.
MARKET|플랫폼 비교 기준에서 긍정적인 평가가 가능합니다.
MARKET|동일 조건 매물 대비 경쟁력이 있는 차량입니다.
MARKET|시장 내 매물 대비 상품성이 좋은 편입니다.
MARKET|현재 등록된 매물 중 선택 가치가 높습니다.
MARKET|비교 매물 대비 조건 메리트가 있습니다.
MARKET|시장 흐름을 고려했을 때 적절한 선택지입니다.
MARKET|유사 매물 대비 경쟁력이 유지되는 차량입니다.
MARKET|현재 시장 상황에서 매력적인 조건을 갖추고 있습니다.
MARKET|동일 모델 내 비교 시 상위 조건에 해당합니다.
MARKET|시장 비교 기준에서 안정적인 평가가 가능합니다.
MARKET|조건 대비 희소성이 있는 매물입니다.
MARKET|등록 매물 대비 경쟁력 있는 차량입니다.
MARKET|비교 시 선택 우선순위가 높은 매물입니다.
MARKET|시장 내 조건 대비 가치가 높은 차량입니다.
MARKET|동일 조건 기준에서 보기 드문 매물입니다.
MARKET|시장 등록 매물 중 균형 잡힌 조건을 갖추고 있습니다.
MARKET|비교 분석 시 긍정적인 요소가 많은 차량입니다.
MARKET|현재 시세 흐름에서 경쟁력이 있는 매물입니다.
MARKET|유사 차량 대비 조건 만족도가 높습니다.
MARKET|여러 비교 기준에서 안정적인 평가가 가능합니다.
MARKET|시장 내 매물 대비 경쟁력이 유지되는 차량입니다.
MARKET|동일 모델 대비 매력적인 조건을 갖추고 있습니다.
MARKET|비교 매물 중 상품성이 돋보입니다.
MARKET|시장 기준에서 긍정적으로 평가되는 매물입니다.
MARKET|현재 등록 매물 중 조건 경쟁력이 높은 차량입니다.
MARKET|동일 조건 매물 대비 선택 가치가 있습니다.
MARKET|시장 비교 시 매력적인 요소가 많은 차량입니다.
MARKET|비교 결과 우수한 조건을 갖춘 매물입니다.
MARKET|시장 내 수요가 꾸준한 조건을 갖추고 있습니다.
MARKET|등록 매물 대비 전반적인 조건이 우수합니다.
MARKET|시장 기준에서 안정적인 선택지로 평가됩니다.
MARKET|동일 모델군 내 경쟁력이 높은 매물입니다.
MARKET|비교 매물 대비 조건 만족도가 높은 차량입니다.
MARKET|시장 흐름 대비 긍정적인 평가가 가능합니다.
MARKET|여러 플랫폼 비교 결과 경쟁력이 확인됩니다.
MARKET|유사 매물 대비 조건이 돋보이는 차량입니다.
MARKET|시장 등록 매물 중 선택 가치가 높은 편입니다.
MARKET|비교 기준에서 균형 잡힌 조건을 갖추고 있습니다.
MARKET|현재 시장 상황에서 합리적인 매물입니다.
MARKET|동일 조건 대비 경쟁력이 충분한 차량입니다.
# USABILITY (181~240)
USABILITY|실사용 관점에서 활용도가 높은 차량입니다.
USABILITY|일상 주행 환경에서 만족도가 기대됩니다.
USABILITY|유지비 부담이 비교적 낮은 조건을 갖추고 있습니다.
USABILITY|출퇴근 및 장거리 주행 모두에 적합한 차량입니다.
USABILITY|실용성을 중요하게 보는 경우 적합한 매물입니다.
USABILITY|다양한 주행 환경에서 활용 가능한 차량입니다.
USABILITY|실사용 기준에서 장점이 많은 매물입니다.
USABILITY|패밀리카 용도로도 고려 가능한 차량입니다.
USABILITY|유지 관리 측면에서 부담이 적은 편입니다.
USABILITY|일상적인 운용에 적합한 조건을 갖추고 있습니다.
USABILITY|실사용 만족도가 기대되는 차량입니다.
USABILITY|장기 운용 관점에서도 안정적인 선택지입니다.
USABILITY|실용성과 경제성을 동시에 고려할 수 있습니다.
USABILITY|일상 주행 중심 사용자에게 적합합니다.
USABILITY|운용 부담이 낮은 차량으로 평가됩니다.
USABILITY|다양한 용도로 활용 가능한 매물입니다.
USABILITY|유지 관리 편의성이 기대되는 차량입니다.
USABILITY|실사용 기준에서 효율적인 선택지입니다.
USABILITY|운용 환경에 따라 활용도가 높은 차량입니다.
USABILITY|장거리 운행에도 부담이 적은 조건입니다.
USABILITY|일상적인 사용 환경에 잘 맞는 차량입니다.
USABILITY|유지비 측면에서 안정적인 선택이 가능합니다.
USABILITY|실용적인 차량을 찾는 경우 적합한 매물입니다.
USABILITY|다양한 라이프스타일에 대응 가능한 차량입니다.
USABILITY|운용 효율이 좋은 차량으로 평가됩니다.
USABILITY|일상 사용 중심으로 만족도가 기대됩니다.
USABILITY|실사용 환경에서 장점이 많은 차량입니다.
USABILITY|경제적인 운용이 가능한 조건입니다.
USABILITY|장기 보유 관점에서도 부담이 적습니다.
USABILITY|실용성과 편의성을 함께 고려할 수 있습니다.
USABILITY|일상 주행 위주의 사용자에게 적합합니다.
USABILITY|유지 관리 측면에서 긍정적인 평가가 가능합니다.
USABILITY|운용 효율이 좋은 매물입니다.
USABILITY|다양한 주행 상황에서 안정적인 차량입니다.
USABILITY|실사용 중심으로 평가 시 장점이 많습니다.
USABILITY|유지비 부담을 고려한 선택이 가능합니다.
USABILITY|일상 운행에 최적화된 차량입니다.
USABILITY|운용 만족도가 기대되는 매물입니다.
USABILITY|실용성을 중시하는 경우 적합한 차량입니다.
USABILITY|운행 환경에 따른 활용도가 높은 매물입니다.
USABILITY|유지 관리가 용이한 차량입니다.
USABILITY|장기 운용 시 장점이 기대됩니다.
USABILITY|실사용 기준에서 효율성이 높은 차량입니다.
USABILITY|다양한 운행 조건에서 무난한 선택입니다.
USABILITY|일상 운용에 부담이 적은 매물입니다.
USABILITY|실용성과 안정성을 함께 갖춘 차량입니다.
USABILITY|유지비 효율이 기대되는 차량입니다.
USABILITY|생활형 차량으로 활용도가 높은 매물입니다.
USABILITY|운용 안정성이 기대되는 차량입니다.
USABILITY|실사용 중심으로 장점이 많은 차량입니다.
USABILITY|유지 부담이 낮은 조건을 갖추고 있습니다.
USABILITY|일상 주행에 적합한 균형 잡힌 차량입니다.
USABILITY|운용 효율이 높은 매물입니다.
USABILITY|실사용 만족도가 기대되는 조건입니다.
USABILITY|장기 운용 시 안정적인 선택이 가능합니다.
USABILITY|다양한 상황에서 활용 가능한 차량입니다.
USABILITY|운용 부담이 적은 실용적인 매물입니다.
USABILITY|유지 관리 효율이 좋은 차량입니다.
USABILITY|일상 운행 중심 사용자에게 적합합니다.
USABILITY|실사용 관점에서 긍정적인 평가가 가능합니다.
# OVERALL (241~300)
OVERALL|전반적으로 균형 잡힌 조건을 갖춘 매물입니다.
OVERALL|종합적으로 추천 가능한 차량으로 평가됩니다.
OVERALL|현재 기준에서 합리적인 선택지로 판단됩니다.
OVERALL|다양한 요소를 고려했을 때 만족도가 기대됩니다.
OVERALL|전반적인 조건이 안정적으로 구성된 차량입니다.
OVERALL|종합 평가 기준에서 긍정적인 매물입니다.
OVERALL|실구매 관점에서 추천 가능한 차량입니다.
OVERALL|전체적인 만족도가 기대되는 매물입니다.
OVERALL|여러 요소를 고려했을 때 선택 가치가 높습니다.
OVERALL|합리적인 선택을 원하는 경우 적합한 차량입니다.
OVERALL|전반적인 상품 밸런스가 우수합니다.
OVERALL|종합적인 평가에서 경쟁력이 있는 매물입니다.
OVERALL|현재 시장 기준에서 추천 가능한 차량입니다.
OVERALL|다양한 비교 기준에서 긍정적인 평가가 가능합니다.
OVERALL|안정적인 선택을 원하는 경우 적합합니다.
OVERALL|전체적인 조건이 균형 잡힌 차량입니다.
OVERALL|종합적으로 만족도가 기대되는 매물입니다.
OVERALL|현재 시점에서 검토 가치가 높은 차량입니다.
OVERALL|전반적인 조건이 우수한 편에 속합니다.
OVERALL|구매 이후 만족도가 기대되는 차량입니다.
OVERALL|합리적인 선택지로 평가되는 매물입니다.
OVERALL|종합적으로 경쟁력이 높은 차량입니다.
