model_code	model_name	임베딩용 요약텍스트	임베딩용 요약 텍스트2	임베딩용 요약 텍스트3
1501	1시리즈	BMW 1시리즈 | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=1시리즈 | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=승용(세단/해치/왜건) | 차급=준중형(해치/세단) | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=1시리즈 | 연식=2004.0~2012 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
2144	뉴1시리즈	BMW 뉴1시리즈 | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=뉴1시리즈 | 바디=승용(세단/해치/왜건) | 차급=승용(급 미상) | 인승=5인 | 3열=없음 | 연비등급=적정 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=뉴1시리즈 | 연식=2013.0~2020 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
3149	1시리즈 (F40)	BMW 1시리즈 (F40) | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=1시리즈 (F40) | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=승용(세단/해치/왜건) | 차급=준중형(해치/세단) | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=1시리즈 (F40) | 연식=2020.0~2025 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
3888	1시리즈 (F70)	BMW 1시리즈 (F70) | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=1시리즈 (F70) | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=승용(세단/해치/왜건) | 차급=준중형(해치/세단) | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=1시리즈 (F70) | 연식=2025.0~현재 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
1502	3시리즈	BMW 3시리즈 | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=3시리즈 | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=승용(세단/해치/왜건) | 차급=중형 세단 | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=3시리즈 | 연식=1975.0~2006 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
1508	뉴3시리즈	BMW 뉴3시리즈 | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=뉴3시리즈 | 바디=승용(세단/해치/왜건) | 차급=승용(급 미상) | 인승=5인 | 3열=없음 | 연비등급=적정 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=뉴3시리즈 | 연식=2005.0~2019 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
2989	3시리즈 (G20)	BMW 3시리즈 (G20) | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=3시리즈 (G20) | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=승용(세단/해치/왜건) | 차급=중형 세단 | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=3시리즈 (G20) | 연식=2018.0~현재 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
1504	5시리즈	BMW 5시리즈 | 브랜드국가 독일 | 세단 | 준대형세단 | 5인 | 3열 없음 | 동력원 가솔린/디젤/하이브리드/전기(라인업별 상이) | 연비 적정~나쁨 | 유지비 적정~높음 | #패밀리세단 #장거리 #편안함 | 장점 정숙성 우수/승차감 중심 세팅 | 단점 유지비 증가/도심 연비 부담	모델=5시리즈 | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=승용(세단/해치/왜건) | 차급=준대형 세단 | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=5시리즈 | 연식=1972.0~2004 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
1509	뉴5시리즈	BMW 뉴5시리즈 | 브랜드국가 독일 | 세단 | 준대형세단 | 5인 | 3열 없음 | 동력원 가솔린/디젤/하이브리드/전기(라인업별 상이) | 연비 적정~나쁨 | 유지비 적정~높음 | #패밀리세단 #장거리 #편안함 | 장점 정숙성 우수/승차감 중심 세팅 | 단점 유지비 증가/도심 연비 부담	모델=뉴5시리즈 | 바디=승용(세단/해치/왜건) | 차급=승용(급 미상) | 인승=5인 | 3열=없음 | 연비등급=적정 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=뉴5시리즈 | 연식=2003.0~2017 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
2865	올뉴5시리즈 (G30)	BMW 올뉴5시리즈 (G30) | 브랜드국가 독일 | 세단 | 준대형세단 | 5인 | 3열 없음 | 동력원 가솔린/디젤/하이브리드/전기(라인업별 상이) | 연비 적정~나쁨 | 유지비 적정~높음 | #패밀리세단 #장거리 #편안함 | 장점 정숙성 우수/승차감 중심 세팅 | 단점 유지비 증가/도심 연비 부담	모델=올뉴5시리즈 (G30) | 바디=승용(세단/해치/왜건) | 차급=승용(급 미상) | 인승=5인 | 3열=없음 | 연비등급=적정 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=올뉴5시리즈 (G30) | 연식=2017.0~2023 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
